,word,song,paragraph,line,index
219,I,Witness,6,31,220
220,get,Witness,6,31,221
221,a,Witness,6,31,222
222,witness,Witness,6,31,223
223,witness,Witness,6,31,224
224,Will,Witness,6,32,225
225,you,Witness,6,32,226
226,be,Witness,6,32,227
227,my,Witness,6,32,228
228,witness,Witness,6,32,229
229,witness,Witness,6,32,230
230,I'm,Witness,6,33,231
231,just,Witness,6,33,232
232,looking,Witness,6,33,233
233,for,Witness,6,33,234
234,a,Witness,6,33,235
235,witness,Witness,6,33,236
236,in,Witness,6,33,237
237,all,Witness,6,33,238
238,of,Witness,6,33,239
239,this,Witness,6,33,240
240,Looking,Witness,6,34,241
241,for,Witness,6,34,242
242,a,Witness,6,34,243
243,witness,Witness,6,34,244
244,to,Witness,6,34,245
245,get,Witness,6,34,246
246,me,Witness,6,34,247
247,through,Witness,6,34,248
248,this,Witness,6,34,249
249,Will,Witness,7,35,250
250,you,Witness,7,35,251
251,be,Witness,7,35,252
252,my,Witness,7,35,253
253,witness,Witness,7,35,254
254,Could,Witness,7,36,255
255,you,Witness,7,36,256
256,be,Witness,7,36,257
257,the,Witness,7,36,258
258,one,Witness,7,36,259
259,that,Witness,7,36,260
260,speaks,Witness,7,36,261
261,for,Witness,7,36,262
262,me,Witness,7,36,263
263,Will,Witness,7,37,264
264,you,Witness,7,37,265
265,be,Witness,7,37,266
266,my,Witness,7,37,267
267,witness,Witness,7,37,268
268,We're,Witness,8,38,269
269,all,Witness,8,38,270
270,just,Witness,8,38,271
271,looking,Witness,8,38,272
272,for,Witness,8,38,273
273,connection,Witness,8,38,274
274,we're,Witness,8,38,275
275,all,Witness,8,38,276
276,just,Witness,8,38,277
277,looking,Witness,8,38,278
278,Yeah,Witness,8,39,279
279,we,Witness,8,39,280
280,all,Witness,8,39,281
281,want,Witness,8,39,282
282,to,Witness,8,39,283
283,be,Witness,8,39,284
284,seen,Witness,8,39,285
285,I'm,Witness,8,40,286
286,looking,Witness,8,40,287
287,for,Witness,8,40,288
288,someone,Witness,8,40,289
289,who,Witness,8,40,290
290,speaks,Witness,8,40,291
291,my,Witness,8,40,292
292,language,Witness,8,40,293
293,Someone,Witness,8,41,294
294,to,Witness,8,41,295
295,ride,Witness,8,41,296
296,this,Witness,8,41,297
297,ride,Witness,8,41,298
298,to,Witness,8,41,299
299,ride,Witness,8,41,300
300,this,Witness,8,41,301
301,ride,Witness,8,41,302
302,with,Witness,8,41,303
303,me,Witness,8,41,304
304,with,Witness,8,41,305
305,me,Witness,8,41,306
306,Can,Witness,8,42,307
307,I,Witness,8,42,308
308,get,Witness,8,42,309
309,a,Witness,8,42,310
310,witness,Witness,8,42,311
311,witness,Witness,8,42,312
312,Will,Witness,8,43,313
313,you,Witness,8,43,314
314,be,Witness,8,43,315
315,my,Witness,8,43,316
316,witness,Witness,8,43,317
317,witness,Witness,8,43,318
318,Will,Witness,8,44,319
319,you,Witness,8,44,320
320,be,Witness,8,44,321
321,my,Witness,8,44,322
322,witness,Witness,8,44,323
323,I'm,Witness,8,45,324
324,just,Witness,8,45,325
325,looking,Witness,8,45,326
326,for,Witness,8,45,327
327,a,Witness,8,45,328
328,witness,Witness,8,45,329
329,ooh-ooh-ooh-ah,Witness,8,45,330
330,in,Witness,8,45,331
331,all,Witness,8,45,332
332,of,Witness,8,45,333
333,this,Witness,8,45,334
334,Looking,Witness,8,46,335
335,for,Witness,8,46,336
336,a,Witness,8,46,337
337,witness,Witness,8,46,338
338,to,Witness,8,46,339
339,get,Witness,8,46,340
340,me,Witness,8,46,341
341,through,Witness,8,46,342
342,this,Witness,8,46,343
