,word,song,paragraph,line,index
220,with,Witness,6,30,221
221,me,Witness,6,30,222
222,Can,Witness,6,31,223
223,I,Witness,6,31,224
224,get,Witness,6,31,225
225,a,Witness,6,31,226
226,witness,Witness,6,31,227
227,witness,Witness,6,31,228
228,Will,Witness,6,32,229
229,you,Witness,6,32,230
230,be,Witness,6,32,231
231,my,Witness,6,32,232
232,witness,Witness,6,32,233
233,witness,Witness,6,32,234
234,I,Witness,6,33,235
235,just,Witness,6,33,236
236,looking,Witness,6,33,237
237,for,Witness,6,33,238
238,a,Witness,6,33,239
239,witness,Witness,6,33,240
240,in,Witness,6,33,241
241,all,Witness,6,33,242
242,of,Witness,6,33,243
243,this,Witness,6,33,244
244,Looking,Witness,6,34,245
245,for,Witness,6,34,246
246,a,Witness,6,34,247
247,witness,Witness,6,34,248
248,to,Witness,6,34,249
249,get,Witness,6,34,250
250,me,Witness,6,34,251
251,through,Witness,6,34,252
252,this,Witness,6,34,253
253,Will,Witness,7,35,254
254,you,Witness,7,35,255
255,be,Witness,7,35,256
256,my,Witness,7,35,257
257,witness,Witness,7,35,258
258,Could,Witness,7,36,259
259,you,Witness,7,36,260
260,be,Witness,7,36,261
261,the,Witness,7,36,262
262,one,Witness,7,36,263
263,that,Witness,7,36,264
264,speaks,Witness,7,36,265
265,for,Witness,7,36,266
266,me,Witness,7,36,267
267,Will,Witness,7,37,268
268,you,Witness,7,37,269
269,be,Witness,7,37,270
270,my,Witness,7,37,271
271,witness,Witness,7,37,272
272,We,Witness,8,38,273
273,all,Witness,8,38,274
274,just,Witness,8,38,275
275,looking,Witness,8,38,276
276,for,Witness,8,38,277
277,connection,Witness,8,38,278
278,we,Witness,8,38,279
279,all,Witness,8,38,280
280,just,Witness,8,38,281
281,looking,Witness,8,38,282
282,Yeah,Witness,8,39,283
283,we,Witness,8,39,284
284,all,Witness,8,39,285
285,want,Witness,8,39,286
286,to,Witness,8,39,287
287,be,Witness,8,39,288
288,seen,Witness,8,39,289
